epoch,accuracy,loss,val_accuracy,val_loss
0,0.9706895351409912,0.07610401511192322,0.9916972517967224,0.024592800065875053
1,0.9905111789703369,0.02747371420264244,0.992016613483429,0.021507462486624718
2,0.991469144821167,0.023769674822688103,0.9945712685585022,0.013780280016362667
3,0.9928149580955505,0.020552199333906174,0.9953696131706238,0.01151264924556017
4,0.9931570887565613,0.018432889133691788,0.9964873194694519,0.01218336820602417
5,0.9949362277984619,0.014447101391851902,0.9980840086936951,0.006169911473989487
6,0.9948222041130066,0.01524018682539463,0.9964873194694519,0.007192977238446474
7,0.9951871633529663,0.012860837392508984,0.9972856640815735,0.006206335034221411
8,0.9958029985427856,0.011736529879271984,0.9982436299324036,0.0049797287210822105
9,0.9956205487251282,0.011775864288210869,0.9987226724624634,0.0048187412321567535
10,0.996578574180603,0.009895012713968754,0.9985629916191101,0.004020113963633776
11,0.9966925978660583,0.009702064096927643,0.9979243278503418,0.006256819237023592
12,0.9964644908905029,0.009735092520713806,0.9984033107757568,0.0052216919139027596
13,0.9970347285270691,0.011568480171263218,0.9968066215515137,0.006644442677497864
14,0.9970347285270691,0.008473973721265793,0.9977646470069885,0.006736402865499258
15,0.9973996877670288,0.007531269919127226,0.9977646470069885,0.006509058643132448
16,0.9974225163459778,0.008147690445184708,0.9977646470069885,0.005948369391262531
17,0.9976733922958374,0.007343396078795195,0.999521017074585,0.0025225700810551643
18,0.9972172379493713,0.008540051057934761,0.9998403191566467,0.0017066712025552988
19,0.9978330731391907,0.007416062522679567,0.9984033107757568,0.0032226629555225372
20,0.997969925403595,0.006636438425630331,0.999521017074585,0.0033251179847866297
21,0.9968522787094116,0.009546885266900063,0.9998403191566467,0.002257268177345395
22,0.997969925403595,0.006534503772854805,0.9992016553878784,0.002021884312853217
23,0.9979471564292908,0.007626010105013847,0.9984033107757568,0.003724844893440604
24,0.9979471564292908,0.006188374478369951,0.9996806383132935,0.0013821552274748683
25,0.9982208609580994,0.006023484747856855,1.0,0.0014457132201641798
26,0.9979243278503418,0.006342852488160133,0.9998403191566467,0.0025573023594915867
27,0.9981067776679993,0.007180572021752596,0.9998403191566467,0.0008897874504327774
28,0.997969925403595,0.006186456419527531,0.9988823533058167,0.004285965580493212
29,0.9982208609580994,0.005597253330051899,0.9992016553878784,0.003324060933664441
30,0.9982664585113525,0.0061122821643948555,0.9988823533058167,0.003366624703630805
31,0.9981067776679993,0.008034450933337212,0.9988823533058167,0.003416476771235466
32,0.9982436299324036,0.005426847375929356,0.9984033107757568,0.004777721129357815
33,0.9984033107757568,0.0045759836211800575,0.9915376305580139,0.021396635100245476
34,0.9980383515357971,0.0055520362220704556,0.9993613362312317,0.0017709549283608794
35,0.9985858201980591,0.004650503862649202,0.9982436299324036,0.0038808605168014765
36,0.9985858201980591,0.004747278057038784,0.9990419745445251,0.0039558326825499535
37,0.998471736907959,0.004806464072316885,0.9988823533058167,0.002501292619854212
38,0.9987226724624634,0.004806841257959604,0.9982436299324036,0.004455170128494501
39,0.9984261393547058,0.004940415732562542,1.0,0.0013695763191208243
40,0.9985401630401611,0.004953790921717882,0.9996806383132935,0.0009120089816860855
41,0.9983348846435547,0.0049381074495613575,0.9996806383132935,0.0010245153680443764
42,0.9985629916191101,0.007244265638291836,1.0,0.0005157203413546085
43,0.9986542463302612,0.004787372890859842,0.9998403191566467,0.0013294547097757459
44,0.9991104006767273,0.003017482813447714,1.0,0.0003052478132303804
45,0.9987910985946655,0.004008193034678698,1.0,0.00029593525687232614
46,0.9990419745445251,0.00560443289577961,0.9996806383132935,0.0009996537119150162
47,0.9981980323791504,0.005355848930776119,1.0,0.0010840175673365593
48,0.9990648031234741,0.002936876378953457,0.9998403191566467,0.001096311490982771
49,0.998973548412323,0.003705632174387574,0.9992016553878784,0.0026114711072295904
